City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,tsiombe,-25.3,45.4833,296.92,89,100,2.32,MG,1707081913
162,georgetown,5.4112,100.3354,300.11,86,20,1.03,MY,1707082104
163,timbuktu,16.7735,-3.0074,294.55,8,13,5.5,ML,1707082176
164,la'ie,21.6477,-157.9253,298.13,65,91,3.58,US,1707082177
165,caribou,46.8606,-68.012,269.39,59,0,8.23,US,1707082177
166,nishinoomote,30.7333,131.0,292.6,94,100,12.75,JP,1707082177
167,gariadhar,21.5333,71.5833,295.6,65,0,2.95,IN,1707082177
168,illapel,-31.6308,-71.1653,299.9,49,51,4.15,CL,1707082177
169,lawrenceburg,38.0373,-84.8966,287.47,37,100,4.47,US,1707082177
170,ola,59.5833,151.2833,249.95,85,22,4.53,RU,1707082177
171,saint george's,12.0564,-61.7485,301.97,79,20,7.72,GD,1707082178
172,along,28.1667,94.7667,284.61,76,99,0.71,IN,1707082178
173,playa del ingles,27.7567,-15.5787,295.04,13,100,3.77,ES,1707082178
174,kolokani,13.5728,-8.0339,297.84,14,44,4.15,ML,1707082178
175,okhotsk,59.3833,143.3,249.87,78,28,6.6,RU,1707082178
176,yumbe,3.4651,31.2469,297.2,42,96,3.46,UG,1707082179
177,magistral'nyy,56.1725,107.4458,252.8,100,85,1.53,RU,1707082179
178,kirensk,57.7853,108.1119,256.82,98,100,1.58,RU,1707082179
179,akureyri,65.6835,-18.0878,261.11,79,0,1.54,IS,1707082179
180,esfarayen,37.0765,57.5101,269.96,78,23,2.13,IR,1707082179
181,waingapu,-9.6567,120.2641,299.31,85,100,3.71,ID,1707082179
182,tamandare,-8.7597,-35.1047,300.47,76,29,3.1,BR,1707082180
183,lerwick,60.1545,-1.1494,276.15,60,100,9.88,GB,1707082180
184,paphos,34.7667,32.4167,287.03,58,40,2.57,CY,1707082180
185,alofi,-19.0595,-169.9187,302.09,79,100,5.66,NU,1707082180
186,whitehorse,60.7161,-135.0538,248.58,64,75,1.54,CA,1707082180
187,ifanadiana,-21.3,47.6333,293.31,99,100,0.5,MG,1707082180
188,salmas,38.1973,44.7653,269.55,74,42,2.7,IR,1707082181
189,shimoda,34.6667,138.95,278.21,78,97,5.64,JP,1707082181
190,quellon,-43.1167,-73.6167,292.34,49,0,2.19,CL,1707082181
191,shitanjing,39.2342,106.3439,266.9,74,19,2.52,CN,1707082181
192,port macquarie,-31.4333,152.9167,297.74,84,96,5.81,AU,1707082181
193,san felipe,10.3399,-68.7425,300.06,78,94,1.88,VE,1707082182
194,mil'kovo,55.6078,37.7956,273.34,92,100,5.88,RU,1707082182
195,west island,-12.1568,96.8225,300.14,83,100,4.63,CC,1707082182
196,guarapari,-20.6667,-40.4975,300.31,85,100,3.4,BR,1707082182
197,pitkyaranta,61.5734,31.4792,266.21,97,100,0.25,RU,1707082182
198,tulua,4.0847,-76.1954,298.09,79,100,0.86,CO,1707081998
199,thompson,55.7435,-97.8558,269.24,86,100,4.12,CA,1707082062
200,portland,45.5234,-122.6762,287.9,59,20,4.47,US,1707082183
201,cape canaveral,28.4058,-80.6048,296.53,80,100,6.17,US,1707082056
202,saldanha,-33.0117,17.9442,294.18,84,100,2.37,ZA,1707082183
203,rio gallegos,-51.6226,-69.2181,300.18,32,0,16.98,AR,1707082183
204,sao desiderio,-12.3633,-44.9733,299.26,69,99,0.36,BR,1707082183
205,garoua boulai,5.8833,14.55,294.84,26,10,2.77,CM,1707082184
206,acarau,-2.8856,-40.12,301.28,76,62,8.55,BR,1707082184
207,remire-montjoly,4.9167,-52.2667,302.17,79,75,6.69,GF,1707082184
208,callao,-12.0667,-77.15,301.31,61,0,6.69,PE,1707082184
209,kantunilkin,21.0917,-87.45,304.55,37,1,3.48,MX,1707082184
210,kill devil hills,36.0307,-75.676,280.92,74,0,6.17,US,1707082185
211,iskateley,67.6803,53.1512,253.72,91,90,3.13,RU,1707082185
212,tingo maria,-9.2895,-76.0088,302.34,69,97,0.88,PE,1707082185
213,papatowai,-46.5619,169.4708,288.07,95,99,2.97,NZ,1707082185
214,simplicio mendes,-7.8539,-41.9103,304.95,38,68,2.42,BR,1707082186
215,calliope,-24.0,151.2,300.2,78,60,1.54,AU,1707082186
216,ribeira brava,32.65,-17.0667,293.5,70,100,3.85,PT,1707082186
217,olonkinbyen,70.9221,-8.7187,267.45,76,100,11.11,SJ,1707082186
218,kinablangan,7.6947,126.5503,298.01,85,32,1.51,PH,1707082186
219,kapa'a,22.0752,-159.319,298.14,66,40,9.77,US,1707082186
220,sinabang,2.4803,96.3801,299.84,81,74,1.09,ID,1707082187
221,caleta de carquin,-11.0925,-77.6267,298.89,74,98,3.12,PE,1707082187
